Name,CAS no,"Origin (company, synthesis method)",Shape,Initial coating/functionalization,"Diameter, nm","Length, nm",Possible impurities,"Surface area, BET (m2/g)",Other observations,Media,"Method to
measure the size (DLS, NTA)","Size of nanomaterial in the test, nm",Dissolution (if applicable) of nanomaterial in the test,Zeta potential of nanomaterial in the test,"Type of test organism (selection: bacteria, algae, crustacean, protozoa, fish, earthworm, other)",Test organism,Test media,Test duration (h or days),"Test temperature, other important conditions",Illumination,Test endpoint,Toxicity measure,Toxicity value,Other observations,Specific mechanisms of toxicity,"Accumulation in cells, tissues and organs",Authors,Title,Journal,Vol,Issue,Start page,End page,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWCNT,308068-56-6,"Shenzhen Nanotech Port Co., Shenzhen, China",rods,no,10,800,"Mo (6.9%), Co (3.9%), Ni (0.2%)",,,Algal media OECD 201,DLS,915,,-1.25,algae ,Chlorella sp.,Algal media OECD 201,96 h,,14-h/10-h light/dark cycle 100 ± 5 μE m−2 s−1,growth (counting of cells),EC50,41 mg/L,"The NPs in the media were autoclaved. Also experiments were performed in the dark. In this case toxicity value was 62.8 mg/l. MWCNTs were also washed additionally using HCl, no difefrence was found compared to original nanotubes. ","Nutrients were sorbed onto the CNTs but the in the presence of remaining nutrients, the algal cells still grew. Lipid peroxdation was obseved in the presence of CNTs. General ROS generation in the presence of CNTs and light was probably contributing to the toxicity. Shading of light contributed to toxicity. Aggregation of CNTs with algal cells, entrance to the cells.",,"Long, Zhifeng 
Ji, Jing 
Yang, Kun 
Lin, Daohui 
Wu, Fengchang
",Systematic and Quantitative Investigation of the Mechanism of Carbon Nanotubes' Toxicity toward Algae,ENVIRONMENTAL SCIENCE & TECHNOLOGY,46,15,8458,8466,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWCNT,308068-56-6,"Shenzhen Nanotech Port Co., Shenzhen, China",rods,no,28,1700,"Mo (0.4%), Co (0.3%), Ni (1.3%)",,,Algal media OECD 201,DLS,2419,,-1.29,algae ,Chlorella sp.,Algal media OECD 201,96 h,,14-h/10-h light/dark cycle 100 ± 5 μE m−2 s−1,growth (counting of cells),EC50,12.7 mg/L,"The NPs in the media were autoclaved. Also experiments were performed in the dark. In this case toxicity value was 36.8 mg/l. MWCNTs were also washed additionally using HCl, no difefrence was found compared to original nanotubes. ","Nutrients were sorbed onto the CNTs but the in the presence of remaining nutrients, the algal cells still grew. Lipid peroxdation was obseved in the presence of CNTs. General ROS generation in the presence of CNTs and light was probably contributing to the toxicity. Shading of light contributed to toxicity. Aggregation of CNTs with algal cells, entrance to the cells.",,"Long, Zhifeng 
Ji, Jing 
Yang, Kun 
Lin, Daohui 
Wu, Fengchang
",Systematic and Quantitative Investigation of the Mechanism of Carbon Nanotubes' Toxicity toward Algae,ENVIRONMENTAL SCIENCE & TECHNOLOGY,46,15,8458,8466,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWCNT,308068-56-6,"Shenzhen Nanotech Port Co., Shenzhen, China",rods,no,70,3200,"Mo (0.5%), Ni (2.5%)",,,Algal media OECD 201,DLS,2662,,-1.27,algae ,Chlorella sp.,Algal media OECD 201,96 h,,14-h/10-h light/dark cycle 100 ± 5 μE m−2 s−1,growth (counting of cells),EC50,12.4 mg/L,"The NPs in the media were autoclaved. Also experiments were performed in the dark. In this case toxicity value was 36.8 mg/l. MWCNTs were also washed additionally using HCl, no difefrence was found compared to original nanotubes. ","Nutrients were sorbed onto the CNTs but the in the presence of remaining nutrients, the algal cells still grew. Lipid peroxdation was obseved in the presence of CNTs. General ROS generation in the presence of CNTs and light was probably contributing to the toxicity. Shading of light contributed to toxicity. Aggregation of CNTs with algal cells, entrance to the cells.",,"Long, Zhifeng 
Ji, Jing 
Yang, Kun 
Lin, Daohui 
Wu, Fengchang
",Systematic and Quantitative Investigation of the Mechanism of Carbon Nanotubes' Toxicity toward Algae,ENVIRONMENTAL SCIENCE & TECHNOLOGY,46,15,8458,8466,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWCNT,308068-56-6,"Shenzhen Nanotech Port, China",rods,no,2,5000-15 000,"Fe (0.3%),Co (4.9%), Mo (1.5%)",400 m2/g,,well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3),SEM,48 +/-11,,,amphipod,Hyalella azteca,"well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3), some sand in the vessel",14 d,23 °C,16-h/8-h light/dark cycle,survival ,EC100,1 mg/mL,Toxicity observed was most likely due to Ni impurities,,CNTs were covering the surface of organisms; also were ingested. ,"Mwangi, J. H., Wang, N., Ingersoll, C. G., Hardesty, D. K., Brunson, E. L., Li, H., Deng, B.",Toxicity of carbon nanotubes to freshwater aquatic invertebrates,Environmental Toxicology and Chemistry,8,,1823,1830,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWCNT,308068-56-6,"Shenzhen Nanotech Port, China",rods,no,2,5000-15 000,"Fe (0.3%),Co (4.9%), Mo (1.5%)",400 m2/g,,well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3),SEM,48 +/-11,,,midge,Chironomus dilutus,"well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3), some sand in the vessel",14 d,23 °C,16-h/8-h light/dark cycle,survival ,NOEC,1 mg/mL,,,CNTs were covering the surface of organisms; also were ingested,"Mwangi, J. H., Wang, N., Ingersoll, C. G., Hardesty, D. K., Brunson, E. L., Li, H., Deng, B.",Toxicity of carbon nanotubes to freshwater aquatic invertebrates,Environmental Toxicology and Chemistry,8,,1823,1830,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWCNT,308068-56-6,"Shenzhen Nanotech Port, China",rods,no,2,5000-15 000,"Fe (0.3%),Co (4.9%), Mo (1.5%)",400 m2/g,,well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3),SEM,48 +/-11,,,oligochaete,Lumbriculus variegatus,"well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3), some sand in the vessel",14 d,23 °C,16-h/8-h light/dark cycle,biomass,EC80,1 mg/mL,,,CNTs were covering the surface of organisms; also were ingested,"Mwangi, J. H., Wang, N., Ingersoll, C. G., Hardesty, D. K., Brunson, E. L., Li, H., Deng, B.",Toxicity of carbon nanotubes to freshwater aquatic invertebrates,Environmental Toxicology and Chemistry,8,,1823,1830,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWCNT,308068-56-6,"Shenzhen Nanotech Port, China",rods,no,10-20,5000-15 000,"Co (0.2%), Mo (1.2%), Ni (3%)",4-400 m2/g,,well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3),SEM,48 +/-11,,,amphipod,Hyalella azteca,"well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3), some sand in the vessel",14 d,23 °C,16-h/8-h light/dark cycle,survival ,EC5,1 mg/mL,,,CNTs were covering the surface of organisms; also were ingested,"Mwangi, J. H., Wang, N., Ingersoll, C. G., Hardesty, D. K., Brunson, E. L., Li, H., Deng, B.",Toxicity of carbon nanotubes to freshwater aquatic invertebrates,Environmental Toxicology and Chemistry,8,,1823,1830,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWCNT,308068-56-6,"Shenzhen Nanotech Port, China",rods,no,10-20,5000-15 000,"Co (0.2%), Mo (1.2%), Ni (3%)",4-400 m2/g,,well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3),SEM,48 +/-11,,,midge,Chironomus dilutus,"well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3), some sand in the vessel",14 d,23 °C,16-h/8-h light/dark cycle,survival ,EC8,1 mg/mL,,,CNTs were covering the surface of organisms; also were ingested,"Mwangi, J. H., Wang, N., Ingersoll, C. G., Hardesty, D. K., Brunson, E. L., Li, H., Deng, B.",Toxicity of carbon nanotubes to freshwater aquatic invertebrates,Environmental Toxicology and Chemistry,8,,1823,1830,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWCNT,308068-56-6,"Shenzhen Nanotech Port, China",rods,no,10-20,5000-15 000,"Co (0.2%), Mo (1.2%), Ni (3%)",4-400 m2/g,,well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3),SEM,48 +/-11,,,oligochaete,Lumbriculus variegatus,"well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3), some sand in the vessel",14 d,23 °C,16-h/8-h light/dark cycle,survival ,EC68,1 mg/mL,,,CNTs were covering the surface of organisms; also were ingested,"Mwangi, J. H., Wang, N., Ingersoll, C. G., Hardesty, D. K., Brunson, E. L., Li, H., Deng, B.",Toxicity of carbon nanotubes to freshwater aquatic invertebrates,Environmental Toxicology and Chemistry,8,,1823,1830,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWCNT,308068-56-6,"Shenzhen Nanotech Port, China",rods,no,10-20,5000-15 000,"Co (0.2%), Mo (1.2%), Ni (3%)",4-400 m2/g,,well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3),SEM,48 +/-11,,,mussel,Villosa iris,"well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3), some sand in the vessel",14 d,23 °C,16-h/8-h light/dark cycle,survival ,EC3,1 mg/mL,,,CNTs were covering the surface of organisms; also were ingested,"Mwangi, J. H., Wang, N., Ingersoll, C. G., Hardesty, D. K., Brunson, E. L., Li, H., Deng, B.",Toxicity of carbon nanotubes to freshwater aquatic invertebrates,Environmental Toxicology and Chemistry,8,,1823,1830,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
